KEEP	PANEL	SCOPE	GROUP	GENE_OR_REGION	BASES
Y	AML	BOTH	CAM2026_new_entities	BCL11B	1000000
Y	AML	AML	CAM2026_new_entities	EWSR1	132254
Y	AML	AML	CAM2026_new_entities	FEV	104098
Y	AML	AML	CAM2026_new_entities	GATA1	107721
Y	AML	AML	CAM2026_new_entities	HNRNPH1	120605
Y	AML	BOTH	CAM2026_new_entities	MYB	137865
Y	AML	AML	CAM2026_new_entities	NFIA	485562
Y	AML	AML	CAM2026_new_entities	PRDM16	469419
Y	AML	AML	ELN_risk_and_comutation	ASXL1	180989
Y	AML	AML	ELN_risk_and_comutation	BCOR	226084
Y	AML	BOTH	ELN_risk_and_comutation	CEBPA	102631
Y	AML	AML	ELN_risk_and_comutation	EZH2	176909
Y	AML	BOTH	ELN_risk_and_comutation	JAK2	244673
Y	AML	AML	ELN_risk_and_comutation	KIT	182759
Y	AML	BOTH	ELN_risk_and_comutation	NPM1	123769
Y	AML	BOTH	ELN_risk_and_comutation	RUNX1	361502
Y	AML	AML	ELN_risk_and_comutation	SF3B1	145244
Y	AML	AML	ELN_risk_and_comutation	SRSF2	103297
Y	AML	AML	ELN_risk_and_comutation	STAG2	242096
Y	AML	BOTH	ELN_risk_and_comutation	TP53	1000000
Y	AML	AML	ELN_risk_and_comutation	U2AF1	114634
Y	AML	AML	ELN_risk_and_comutation	ZRSR2	132776
Y	AML	AML	HOX_class_splitters	DEK	140671
Y	AML	BOTH	HOX_class_splitters	NUP98	222545
Y	AML	AML	HOX_class_splitters	UBTF	116264
Y	AML	BOTH	KMT2A_partners	AFDN	245459
Y	AML	BOTH	KMT2A_partners	AFF1	306053
Y	AML	BOTH	KMT2A_partners	AFF3	697172
Y	AML	BOTH	KMT2A_partners	ELL	179408
Y	AML	BOTH	KMT2A_partners	EPS15	265004
Y	AML	BOTH	KMT2A_partners	MLLT1	169595
Y	AML	BOTH	KMT2A_partners	MLLT10	310282
Y	AML	BOTH	KMT2A_partners	MLLT11	109148
Y	AML	BOTH	KMT2A_partners	MLLT3	380831
Y	AML	BOTH	KMT2A_partners	MLLT6	124508
Y	AML	BOTH	KMT2A_partners	SEPTIN6	177444
Y	AML	BOTH	KMT2A_partners	SEPTIN9	319095
Y	AML	BOTH	MPN_eosinophilia_fusions	ABL1	273795
Y	AML	BOTH	MPN_eosinophilia_fusions	BCR	237529
Y	AML	AML	MPN_eosinophilia_fusions	CCDC88C	246498
Y	AML	AML	MPN_eosinophilia_fusions	CEP43	153322
Y	AML	AML	MPN_eosinophilia_fusions	CHIC2	154815
Y	AML	AML	MPN_eosinophilia_fusions	CNTRL	202656
Y	AML	AML	MPN_eosinophilia_fusions	ETNK1	165495
Y	AML	BOTH	MPN_eosinophilia_fusions	FGFR1	157697
Y	AML	AML	MPN_eosinophilia_fusions	FIP1L1	183222
Y	AML	AML	MPN_eosinophilia_fusions	GOLGA4	223609
Y	AML	AML	MPN_eosinophilia_fusions	HIP1	305644
Y	AML	AML	MPN_eosinophilia_fusions	LRRFIP1	254057
Y	AML	AML	MPN_eosinophilia_fusions	MYO18A	209276
Y	AML	AML	MPN_eosinophilia_fusions	PCM1	207092
Y	AML	BOTH	MPN_eosinophilia_fusions	PDGFRA	168953
Y	AML	BOTH	MPN_eosinophilia_fusions	PDGFRB	142007
Y	AML	AML	MPN_eosinophilia_fusions	RABEP1	204056
Y	AML	AML	MPN_eosinophilia_fusions	SPTBN1	315120
Y	AML	AML	MPN_eosinophilia_fusions	TP53BP1	207580
Y	AML	AML	MPN_eosinophilia_fusions	TRIM24	229738
Y	AML	AML	MPN_eosinophilia_fusions	ZMYM2	231693
Y	AML	BOTH	Ph_like_kinase_partners	CSF1R	160082
Y	AML	BOTH	Ph_like_kinase_partners	EPOR	107108
Y	AML	BOTH	TF_programme_anchors	NUP214	209078
Y	AML	BOTH	TF_programme_anchors	PICALM	212685
