KEEP	PANEL	SCOPE	GROUP	GENE_OR_REGION	BASES
Y	ALL	BOTH	CAM2026_new_entities	BCL11B	1000000
Y	ALL	BOTH	CAM2026_new_entities	MYB	137865
Y	ALL	ALL	ELN_risk_and_comutation	CDKN2A	127573
Y	ALL	ALL	ELN_risk_and_comutation	CDKN2B	106411
Y	ALL	BOTH	ELN_risk_and_comutation	CEBPA	102631
Y	ALL	BOTH	ELN_risk_and_comutation	JAK2	244673
Y	ALL	BOTH	ELN_risk_and_comutation	NPM1	123769
Y	ALL	BOTH	ELN_risk_and_comutation	RUNX1	361502
Y	ALL	BOTH	ELN_risk_and_comutation	TP53	1000000
Y	ALL	BOTH	HOX_class_splitters	NUP98	222545
Y	ALL	BOTH	KMT2A_partners	AFDN	245459
Y	ALL	BOTH	KMT2A_partners	AFF1	306053
Y	ALL	BOTH	KMT2A_partners	AFF3	697172
Y	ALL	BOTH	KMT2A_partners	ELL	179408
Y	ALL	BOTH	KMT2A_partners	EPS15	265004
Y	ALL	BOTH	KMT2A_partners	MLLT1	169595
Y	ALL	BOTH	KMT2A_partners	MLLT10	310282
Y	ALL	BOTH	KMT2A_partners	MLLT11	109148
Y	ALL	BOTH	KMT2A_partners	MLLT3	380831
Y	ALL	BOTH	KMT2A_partners	MLLT6	124508
Y	ALL	BOTH	KMT2A_partners	SEPTIN6	177444
Y	ALL	BOTH	KMT2A_partners	SEPTIN9	319095
Y	ALL	BOTH	MPN_eosinophilia_fusions	ABL1	273795
Y	ALL	BOTH	MPN_eosinophilia_fusions	BCR	237529
Y	ALL	BOTH	MPN_eosinophilia_fusions	FGFR1	157697
Y	ALL	BOTH	MPN_eosinophilia_fusions	PDGFRA	168953
Y	ALL	BOTH	MPN_eosinophilia_fusions	PDGFRB	142007
Y	ALL	ALL	PAX5alt_partners	AUTS2	1295032
Y	ALL	ALL	PAX5alt_partners	DACH1	529239
Y	ALL	ALL	PAX5alt_partners	DACH2	784152
Y	ALL	ALL	PAX5alt_partners	ELN	142118
Y	ALL	ALL	PAX5alt_partners	FBRSL1	195037
Y	ALL	ALL	PAX5alt_partners	FOXP1	729269
Y	ALL	ALL	PAX5alt_partners	NOL4L	242275
Y	ALL	ALL	PAX5alt_partners	POM121	172103
Y	ALL	ALL	PAX5alt_partners	SOX5	1132988
Y	ALL	ALL	Ph_like_kinase_partners	ABL2	230347
Y	ALL	ALL	Ph_like_kinase_partners	ATF7IP	237304
Y	ALL	BOTH	Ph_like_kinase_partners	CSF1R	160082
Y	ALL	ALL	Ph_like_kinase_partners	DGKH	302862
Y	ALL	ALL	Ph_like_kinase_partners	EBF1	503997
Y	ALL	ALL	Ph_like_kinase_partners	ELMO1	696421
Y	ALL	BOTH	Ph_like_kinase_partners	EPOR	107108
Y	ALL	ALL	Ph_like_kinase_partners	GATAD2A	223090
Y	ALL	ALL	Ph_like_kinase_partners	HDAC9	1015590
Y	ALL	ALL	Ph_like_kinase_partners	IL2RB	149279
Y	ALL	ALL	Ph_like_kinase_partners	IL7R	122713
Y	ALL	ALL	Ph_like_kinase_partners	KANK1	375816
Y	ALL	BOTH	Ph_like_kinase_partners	LYN	234335
Y	ALL	ALL	Ph_like_kinase_partners	MYH9	206688
Y	ALL	ALL	Ph_like_kinase_partners	NCOR1	286375
Y	ALL	BOTH	Ph_like_kinase_partners	NTRK3	496989
Y	ALL	ALL	Ph_like_kinase_partners	OFD1	134641
Y	ALL	ALL	Ph_like_kinase_partners	PAG1	244258
Y	ALL	ALL	Ph_like_kinase_partners	PPFIBP1	271359
Y	ALL	ALL	Ph_like_kinase_partners	PTK2B	247909
Y	ALL	ALL	Ph_like_kinase_partners	RCSD1	178504
Y	ALL	ALL	Ph_like_kinase_partners	RFX3	407705
Y	ALL	ALL	Ph_like_kinase_partners	SFPQ	116768
Y	ALL	ALL	Ph_like_kinase_partners	SH2B3	145701
Y	ALL	ALL	Ph_like_kinase_partners	SNX2	159544
Y	ALL	ALL	Ph_like_kinase_partners	SSBP2	438447
Y	ALL	ALL	Ph_like_kinase_partners	STRN	228839
Y	ALL	ALL	Ph_like_kinase_partners	STRN3	232576
Y	ALL	ALL	Ph_like_kinase_partners	TERF2	130441
Y	ALL	ALL	Ph_like_kinase_partners	TNIP1	157741
Y	ALL	ALL	Ph_like_kinase_partners	TPR	163600
Y	ALL	ALL	Ph_like_kinase_partners	TYK2	130040
Y	ALL	ALL	Ph_like_kinase_partners	USP25	250138
Y	ALL	ALL	Ph_like_kinase_partners	ZC3HAV1	166206
Y	ALL	ALL	Ph_like_kinase_partners	ZMIZ1	347553
Y	ALL	ALL	TF_programme_anchors	LEF1	221412
Y	ALL	ALL	TF_programme_anchors	LMO1	144479
Y	ALL	ALL	TF_programme_anchors	LMO2	133501
Y	ALL	ALL	TF_programme_anchors	LMO3	159843
Y	ALL	ALL	TF_programme_anchors	LYL1	103826
Y	ALL	ALL	TF_programme_anchors	MEF2C	285865
Y	ALL	ALL	TF_programme_anchors	NKX2-1	103834
Y	ALL	ALL	TF_programme_anchors	NKX2-5	103098
Y	ALL	BOTH	TF_programme_anchors	NUP214	209078
Y	ALL	BOTH	TF_programme_anchors	PICALM	212685
Y	ALL	BOTH	TF_programme_anchors	SET	112973
Y	ALL	ALL	TF_programme_anchors	SPI1	123688
Y	ALL	ALL	TF_programme_anchors	STIL	164758
Y	ALL	ALL	TF_programme_anchors	STMN1	122241
Y	ALL	ALL	TF_programme_anchors	TAL1	116046
Y	ALL	ALL	TF_programme_anchors	TAL2	100666
Y	ALL	ALL	TF_programme_anchors	TCF7	133530
Y	ALL	ALL	TF_programme_anchors	TLX1	106490
Y	ALL	ALL	TF_programme_anchors	TLX3	102892
Y	ALL	BOTH	fusion_anchors	MYC	2000000
Y	ALL	BOTH	named_intervals	HOXA_cluster	210000
Y	ALL	ALL	named_intervals	IGH_locus	1350000
Y	ALL	ALL	named_intervals	IGK_locus	1450000
Y	ALL	ALL	named_intervals	IGL_locus	910000
Y	ALL	ALL	named_intervals	PAR1_CRLF2_P2RY8	500000
Y	ALL	ALL	named_intervals	PAR1_CRLF2_P2RY8_Y	500000
Y	ALL	ALL	named_intervals	TRA_TRD_locus	940000
Y	ALL	ALL	named_intervals	TRB_locus	530000
Y	ALL	ALL	named_intervals	TRG_locus	170000
Y	ALL	BOTH	rare_paediatric_anchors	CBFA2T3	202350
Y	ALL	BOTH	rare_paediatric_anchors	CREBBP	255659
Y	ALL	BOTH	rare_paediatric_anchors	EP300	187486
Y	ALL	BOTH	rare_paediatric_anchors	ERG	394520
Y	ALL	BOTH	rare_paediatric_anchors	FLI1	226733
Y	ALL	BOTH	shared_anchors_KMT2A_NUP98	KMT2A	190341
Y	ALL	BOTH	shared_anchors_KMT2A_NUP98	KMT2C	401079
Y	ALL	BOTH	shared_anchors_KMT2A_NUP98	SETD2	247706
Y	ALL	ALL	subtype_anchors	ACIN1	137050
Y	ALL	ALL	subtype_anchors	BCL9	184714
